RelativePath,Category,Description,Date,Stage,Status,GitCommit,Device,PublicSafe,ContainsPersonalData,ContainsSecrets,BackupPriority,MissingOrPresent,RecommendedAction
Verification/Phase1/20260720_075848/git/source_sha256.txt,TestEvidence,Per-file SHA-256 snapshot pinning exact built sources,2026-07-20,Phase1,VERIFIED,4c60f0d+dirty,,Yes,No,No,CRITICAL,Present,Back up
Verification/Phase1/20260720_075848/research/apk_metadata.txt,BuildRecord,Research APK sha256 09fadb7a...3932b9 + size/date,2026-07-20,Phase1,VERIFIED,4c60f0d+dirty,,Yes,No,No,HIGH,Present,Back up
Verification/Phase1/20260720_075848/config/,BuildRecord,Byte-exact config backup/restore proof (hash-matched),2026-07-20,Phase1,VERIFIED,4c60f0d+dirty,,Yes,No,No,HIGH,Present,Back up
Verification/Phase1/20260720_075848/jsonl/;demo/;demo_logs/,TestEvidence,EMPTY - device capture steps never ran; run pointer still open,2026-07-20,Phase1,INCOMPLETE,,,Yes,No,No,HIGH,Present(empty),Run capture steps on device then close run with restore_and_report --close
Tools/Verification/,Tooling,Fail-closed Phase 1 pipeline (7 shell scripts; 2 Python validators; 12 unit tests; labeled fake fixtures),2026-07-20,Phase1,IMPLEMENTED (self-tested),UNTRACKED,,Review,No,No,CRITICAL,Present,Commit; scripts embed absolute personal paths (fine locally; redact in publications)
Saved/TranquilMind/Research/*.jsonl (74 files),ResearchData,Mac dev/self-test JSONL sessions (seed+seqHash per trial; some header-only aborts),2026-07-20..27,Phase1,IMPLEMENTED,not tracked (Saved/),,Review,Possibly (dev self-test only),No,MEDIUM,Present,Back up outside Saved/; label as developer self-test data; NOT participant data
ArchivedBuilds/Phase1Verification/20260720_075848/Research/Android_ASTC/TranquilMind-arm64.apk,QuestAPK,Research-mode APK 149850133 B (sha256 recorded),2026-07-20,Phase1,PACKAGED,4c60f0d+dirty,Quest target,Yes,No,No,HIGH,Present,Back up
ArchivedBuilds/Pass0C_QuestBaseline/Android_ASTC/TranquilMind-arm64.apk,QuestAPK,Pass 0C baseline APK 153011785 B (NO recorded hash),2026-07-27,Pass0C,DEVICE-VERIFIED,uncommitted tree,Quest 2,Yes,No,No,HIGH,Present,Record sha256 now; back up
Packaged/Android/TranquilMind-arm64.apk,QuestAPK,2026-07-06 demo-era APK 149833033 B (NO recorded hash),2026-07-06,GSR-demo,DEVICE-VERIFIED,~4c60f0d,Quest 2,Yes,No,No,MEDIUM,Present,Record sha256; keep as historical build
ArchivedBuilds/*/TranquilMind_Symbols_v1/TranquilMindarm64/libUnreal.so,BuildRecord,Debug symbols ~370MB per build,2026-07-06..27,,IMPLEMENTED,,,Yes,No,No,LOW,Present,Keep locally; exclude from public repo
Docs/Quest_Working_Baseline_Report.md,DeviceLogReport,2026-06-21 on-device baseline with quoted logcat chain,2026-06-21,Baseline,DEVICE-VERIFIED,committed (a478e6b era),Quest 2,Review,Yes (paths; GUID; KST locale),No,HIGH,Present,Redact personal paths + GUID before publication
Docs/Verification/GSR_Quest_Phase2_2026-07-05.md,DeviceLogReport,GSR on-device verification (57s continuous; quoted log lines),2026-07-05,GSR,DEVICE-VERIFIED,a548f7e,Quest 2,No,Yes (Wi-Fi SSID; ESP32 IP; Quest IP),No,HIGH,Present,REDACT SSID+IPs before any public use
Docs/Portfolio/TranquilMind_Quest_GSR_Demo_Milestone.md,PortfolioDoc,End-to-end GSR demo milestone narrative with claim boundary,2026-07-06,GSR,DEVICE-VERIFIED,7963986,Quest 2,Yes,No,No,HIGH,Present,Good public source after minor review
Docs/Research/TranquilMind_Protocol_Specification_v1.md,DesignPlan,DRAFT protocol A/B/C (pilot defaults; staircase; GSR limits),2026-07-08,ResearchDocs,PLANNED,committed era,,Yes,No,No,HIGH,Present,Publish only as draft protocol design
Docs/Research/GoNoGo_Training_Evidence_Review.md;Current_Implementation_Gap_Analysis.md;Quest_Bubble_Rendering_Research.md;Phase1_ResearchMode_BuildVerify_Runbook.md,DesignPlan,2026-07-08 research doc set (evidence review; gap analysis; rendering research; runbook),2026-07-08,ResearchDocs,PLANNED/PARTIALLY EXECUTED,UNTRACKED (Docs/Research),,Review,Yes (runbook has personal paths),No,HIGH,Present,Commit; redact paths in published excerpts
Docs/Backup_20260621/,BuildRecord,Pre-git restore checkpoint (3 inis + 5 sources),2026-06-21,Baseline,ARCHIVED,committed,,Yes,No,No,MEDIUM,Present,Keep as historical evidence
"~/Claude/Projects/Academic Portfolio 2026/TranquilMind_Research/TranquilMind_Implementation_Spec.md",DesignPlan,Sole implementation authority (11 stages; stop conditions; claim rules),2026-07-28,Planning,PLANNED,outside repo,,Yes,No,No,CRITICAL,Present,Copy into repo Documentation/ and back up; currently outside any VCS
"~/Claude/Projects/Academic Portfolio 2026/TranquilMind_Research/TranquilMind_Complete_Visual_Timing_Plan.md",DesignPlan,Reasoning + alternatives behind the Spec (A-prime/B-prime; corrections 0.1-0.6),2026-07-28,Planning,PLANNED,outside repo,,Yes,No,No,CRITICAL,Present,Copy into repo and back up
"~/Claude/Projects/Academic Portfolio 2026/TranquilMind_Research/TranquilMind_Design_Decision_Table.md",DesignPlan,Decisions D1-D22 with evidence tags,2026-07-28,Planning,PLANNED,outside repo,,Yes,No,No,CRITICAL,Present,Copy into repo and back up
"~/Claude/Projects/Academic Portfolio 2026/TranquilMind_Research/TranquilMind_Literature_Review.md",LiteratureDoc,Scoping review Domains A-C (12 verified sources; honest limits),2026-07-28,Planning,COMPLETE (as scoping review),outside repo,,Yes,No,No,CRITICAL,Present,Copy into repo; publish only as scoping review
"~/Claude/Projects/Academic Portfolio 2026/TranquilMind_Research/TranquilMind_Evidence_Matrix.csv;TranquilMind_Source_Register.md",LiteratureDoc,Citation matrix E01-E15 + source verification register,2026-07-28,Planning,COMPLETE,outside repo,,Yes,No,No,HIGH,Present,Copy into repo
"~/Claude/Projects/Academic Portfolio 2026/TranquilMind_Research/Stage1_Instrumentation_Kit.md;TMStage1Trace.cpp;TMStage1Trace.h;parse_tm_trace.py",Tooling,Stage 1 flash-instrumentation kit - NOT EXECUTED; not yet in project,2026-07-28,Stage1,IN PROGRESS,outside repo,,Yes,No,No,CRITICAL,Present,Copy into repo (do not integrate as part of this audit); back up
"~/Documents/Arduino/ESP32_GSR_UDP/",Firmware,GSR UDP firmware sketch (1Hz JSON),2026-07-05,GSR,DEVICE-VERIFIED,outside repo,ESP32,Review,Possibly (embedded Wi-Fi credentials),Likely (Wi-Fi password in sketch),CRITICAL,Present,Copy into repo Tools/Firmware WITH credentials stripped; back up
"~/Documents/Arduino/gsr_udp_receiver.py",Firmware,Mac-side UDP test listener,2026-07-05,GSR,VERIFIED,outside repo,,Yes,No,No,MEDIUM,Present,Copy into repo Tools/
Documentation/PortfolioEvidence/,PortfolioDoc,This evidence pack (5 files),2026-07-28,EvidencePack,IMPLEMENTED,new,,Yes,No,No,HIGH,Present,Commit with the rest
(missing) Pass0C performance capture (logcat/VrApi FPS+GPU samples),PerformanceCapture,Raw evidence behind the 72FPS / 6.9-7.7ms claims,2026-07-28,Pass0C,MISSING ARTIFACT,,Quest 2,,,,CRITICAL,MISSING,Pull/preserve session logcat if still available; else re-capture and archive under Verification/
(missing) On-device Research JSONL + sha256,ResearchData,Device-side JSONL proving on-device determinism; byte-diff pair for regression gate,,Phase1,MISSING,,Quest 2,,,,CRITICAL,MISSING,Run phase1_capture_research.sh with headset attached; archive JSONL + hash; run byte-diff twice
(missing) Archived automation summary for current 23-test suite,TestEvidence,Only the 8-test 2026-07-20 summary is archived,,Pass1A,MISSING,,,,,,HIGH,MISSING,Re-run full suite; archive summary JSON
(missing) Screenshots / video of Demo (Void + Environment) and Research mode,Media,No screenshots or videos exist anywhere in the project (only Saved/AutoScreenshot.png),,Portfolio,MISSING,,Quest 2,,,,HIGH,MISSING,Capture: PIE stills; on-device stills via adb screencap; scrcpy/casting video of 120s demo
(missing) GSR sensor calibration record,SensorCalibration,No calibration data exists (raw ADC only; uS conversion undone),,GSR,MISSING (also PLANNED in protocol spec 6.3),,ESP32,,,,MEDIUM,MISSING,Document as known limitation; calibration belongs to 32Hz roadmap
(missing) UDP packet schema document,Schema,Schema exists only inside milestone doc + firmware; no standalone versioned schema file,,GSR,MISSING,,,,,,LOW,MISSING,Extract JSON schema into Docs/ or Documentation/
(missing) Git commit of current working tree,SourceCode,All Phase1/Pass0*/Pass1A work uncommitted; single-disk risk,2026-07-06 last commit,All,MISSING,,,,,,CRITICAL,MISSING,Commit (user action; out of scope for this audit) and push to a remote
(missing) Website exports / interview drafts,PortfolioDoc,Not yet created (explicitly out of scope of this evidence pack),,Portfolio,PLANNED,,,,,,LOW,MISSING,Next phase after user reviews this pack
